Company nmae, Telephone, Fax, Email, Links
Rowan Precision Ltd., +44 (0121) 3569981, +44 (0121) 3569982, sales@rowanprecision.co.uk, http://www.rowanprecision.co.uk | https://www.facebook.com/rowanprecision/
Salcey Precision Engineering Ltd, +44 (01604) 864111, +44 (0604) 864113, richard.alcock@salceyprecision.co.uk, http://www.salceyprecision.co.uk
Sassen Engineering Ltd., +44 (0121) 3597411, +44 (0121) 3592404, sales@sassenengineering.co.uk, http://www.sassenengineering.co.uk
Swissmatic Ltd., +44 (01698) 374548, NaN, jcorbally@swissmatic.co.uk, http://www.swissmatic.co.uk
Techfore Turned Parts Ltd., +44 (01527) 514200, +44 (01527) 514200, info@techfore.co.uk, http://www.techfore.co.uk
Tenable Screw Co Ltd., +44 (0208) 5426225, +44 (0208) 5435789, sales@tenable.co.uk, http://www.tenable.co.uk | https://www.facebook.com/Tenable-Screw-Company-Ltd-697466167054406/ | https://www.youtube.com/channel/UC2utDBxLx_e_9pRA1Tc0qbQ
Tercet Precision Ltd., +44 (0141) 8874153, +44 (0141) 8874586, alex.burns@tercet.co.uk, http://www.tercet.co.uk
Thomas Brown Engineering Ltd, 01484 548903, 01484 431603, tom@thomasbrownengineering.co.uk, http://www.thomas-brown-engineering.co.uk
TKM Engineering, +44 (01708) 377723, +44 (01708) 377022, tkmeng@dsl.pipex.com, http://www.tkmengineering.co.uk
Trust Precision Engineering Ltd, 01773 719239, NaN, steve@trustprecisionengineering.co.uk, http://www.trustpresicionengineering.co.uk
Wealdpark Limited, 01744 22567, 01744 451339, sales@wealdpark.co.uk, http://www.wealdpark.co.uk
Wharf Engineering, 01767 313581, 01767 310313, sales@wharf-engineering.co.uk, 
Wilco Manufacturing Ltd, 0121 772 6212, 0121 772 2871, martinlane@wilcomanufacturing.co.uk, http://www.wilcomanufacturing.co.uk
Yorkshire Precision Engineering Ltd, 01535 604246, 01535 608057, info@ypel.co.uk, http://www.ypel.co.uk
